"DATASET","REP","CLIM_YR","PLT_SZ","SurvRate_JAGS","SurvRate_GLMM","SurvRate_True","GrwthRate_JAGS","GrwthRate_GLMM","GrwthRate_True"
"SimDat20yrMedGr",1,2002,1,0.610071490349535,0.549828900877886,0.327701116030972,15.3655483697547,24.752713720012,2.11765217857454
"SimDat20yrMedGr",1,2002,2.58689776396124,0.672781891255786,0.573301049307531,0.4056827513681,20.084632747268,28.098098212957,4.3917129894305
"SimDat20yrMedGr",1,2002,5.43509194201455,0.717922572340545,0.591413951690916,0.470336255440594,24.7582423312721,31.0227616122985,7.76380621209142
"SimDat20yrMedGr",1,2002,8.37819600856587,0.742415860636993,0.60186188176247,0.508633205765573,27.9691893226696,32.8660330073142,10.8220196639742
"SimDat20yrMedGr",1,2002,11.394562374498,0.758952644489994,0.60923046438131,0.535810705957799,30.5008347139939,34.2419926819473,13.7023935610043
"SimDat20yrMedGr",1,2002,14.3928317919052,0.771021065860081,0.614795064599807,0.55632335887379,32.5760648882151,35.3256089190973,16.3927255463978
"SimDat20yrMedGr",1,2002,17.4168456893173,0.780554209473318,0.619315957344577,0.572931978414568,34.3745592002566,36.2356572053054,18.9763308524474
"SimDat20yrMedGr",1,2002,20.4492023787929,0.788353918646855,0.623104963092926,0.586785597606203,35.964963775489,37.0197294836074,21.4638392894114
"SimDat20yrMedGr",1,2002,23.4679857009673,0.794881885509023,0.626343506076635,0.598562552249405,37.3878363045259,37.7058681045457,23.8560926228356
"SimDat20yrMedGr",1,2002,26.4680666305487,0.800462061495106,0.629163773176191,0.60876018297255,38.6769919516153,38.3157443389481,26.1634364899755
"SimDat20yrMedGr",1,2002,29.4813766244729,0.805365750580071,0.631683966108601,0.617820021126035,39.8701177632191,38.8707200786043,28.4203960183711
"SimDat20yrMedGr",1,2002,32.4669190254479,0.809674999707963,0.633932629634614,0.625856927133548,40.9687309181812,39.3740487063925,30.6041504344321
"SimDat20yrMedGr",1,2002,35.4521633345378,0.813540559100362,0.635978067558819,0.633125706660222,41.9969008839781,39.8387029829766,32.7414148619908
"SimDat20yrMedGr",1,2002,38.3948724021863,0.816992211655643,0.637828058171443,0.639663155528106,42.9512358418954,40.2646570643995,34.807587880768
"SimDat20yrMedGr",1,2002,41.41768651391,0.820226493019838,0.639582502069538,0.645828712844449,43.8783218544958,40.6737015443547,36.8919882257998
"SimDat20yrMedGr",1,2002,44.4207985104545,0.823174105285195,0.641199732652854,0.651480988188935,44.7524155852394,41.0552161893757,38.9280227502545
"SimDat20yrMedGr",1,2002,47.381327188688,0.825857256108832,0.642687534183407,0.656653376900414,45.5735013594698,41.4100355569534,40.9040587019392
