"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew","save","surv","lagsrtsz","lagforsurv","InflYesNo","Tot_fall_ppt","Tot_winter_ppt","Tot_summer_ppt","Mean_fall_temp","Mean_winter_temp","Mean_summer_temp"
1,2005,23,NA,"W.2","W.2.1",1,1,0,0,NA,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036
2,2014,19,0,"W.2","W.2.1",1,1,1,1,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001
3,2009,21,0,"W.2","W.2.1",1,1,1,1,0,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044
4,2008,24,1,"W.2","W.2.1",1,1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
5,2011,19,0,"W.2","W.2.1",1,1,1,1,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015
6,2002,17,7,"W.2","W.2.1",1,1,1,1,1,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
7,2012,20,0,"W.2","W.2.1",1,1,1,1,0,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082
8,2002,21,6,"W.2","W.2.1",1,1,1,1,1,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
9,2008,NA,NA,"W.2","W.2.1",1,0,0,1,NA,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
1,2005,23,NA,"W.2","W.2.2",1,1,0,0,NA,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036
2,2014,22,7,"W.2","W.2.2",1,1,1,1,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001
3,2009,23,1,"W.2","W.2.2",1,1,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044
4,2008,24,0,"W.2","W.2.2",1,1,1,1,0,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
5,2011,NA,NA,"W.2","W.2.2",1,0,0,1,NA,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015
1,2005,26,NA,"W.4","W.4.3",1,1,0,0,NA,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036
2,2014,26,1,"W.4","W.4.3",1,1,1,1,1,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001
3,2009,23,5,"W.4","W.4.3",1,1,1,1,1,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044
4,2008,28,0,"W.4","W.4.3",1,1,1,1,0,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
5,2011,20,0,"W.4","W.4.3",1,1,1,1,0,85.2840004,48.1170001,120.6329985,13.6962508,0.953500062,15.76275015
6,2002,22,0,"W.4","W.4.3",1,1,1,1,0,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
7,2012,18,0,"W.4","W.4.3",1,1,1,1,0,173.4370041,45.44700122,173.9370031,13.57525074,1.998000085,17.45250082
8,2002,20,4,"W.4","W.4.3",1,1,1,1,1,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
9,2008,28,5,"W.4","W.4.3",1,1,1,1,1,98.75799704,102.3950014,92.39099979,14.216501,-0.341999982,15.16500068
10,2002,20,0,"W.4","W.4.3",1,1,1,1,0,116.7060027,51.88000154,103.1949987,14.03625035,0.464250049,17.14900088
11,2006,NA,NA,"W.4","W.4.3",1,NA,0,0,NA,140.3799968,59.06599998,219.8220053,13.73350036,1.013500094,17.17325068
12,2019,26,4,"W.4","W.4.3",1,1,2,2,1,128.3570004,88.84800053,233.9699993,12.63000053,0.738500021,14.93757486
13,2013,NA,NA,"W.4","W.4.3",1,NA,0,0,NA,83.17200089,53.7239995,163.0979977,13.40475047,0.392250009,15.07925105
14,2016,20,2,"W.4","W.4.3",1,1,2,2,1,116.2959976,62.17699909,247.020998,14.68625033,2.502000123,16.16900063
15,2018,NA,NA,"W.4","W.4.3",1,NA,0,0,NA,203.708004,38.44499874,155.4189968,13.455001,1.983250052,17.04200029
16,2005,NA,NA,"W.4","W.4.3",1,0,0,2,NA,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036
1,2005,8,NA,"W.4","W.4.4",1,1,0,0,NA,118.0149994,102.7259989,104.1850014,12.23800057,1.985750109,15.79275036
2,2014,6,0,"W.4","W.4.4",1,1,1,1,0,248.3630075,78.29500008,234.2239933,13.15425086,0.481249988,15.200001
3,2009,10,0,"W.4","W.4.4",1,1,1,1,0,138.928998,77.65999961,242.2649918,13.34550071,1.952750087,15.14525044
