"Year","ClimYr","RosNew","InflNew","TransectNew","TagNew"
1,2002,3,NA,"W.4","W.4.1"
2,2007,0,0,"W.4","W.4.1"
3,2005,0,0,"W.4","W.4.1"
4,2004,NA,NA,"W.4","W.4.1"
5,2009,NA,NA,"W.4","W.4.1"
6,2013,NA,NA,"W.4","W.4.1"
7,2003,NA,NA,"W.4","W.4.1"
8,2017,NA,NA,"W.4","W.4.1"
9,2009,NA,NA,"W.4","W.4.1"
10,2018,NA,NA,"W.4","W.4.1"
11,2016,NA,NA,"W.4","W.4.1"
12,2003,NA,NA,"W.4","W.4.1"
13,2005,NA,NA,"W.4","W.4.1"
14,2014,NA,NA,"W.4","W.4.1"
15,2010,NA,NA,"W.4","W.4.1"
16,2020,NA,NA,"W.4","W.4.1"
17,2017,NA,NA,"W.4","W.4.1"
18,2005,NA,NA,"W.4","W.4.1"
19,2011,NA,NA,"W.4","W.4.1"
20,2007,NA,NA,"W.4","W.4.1"
1,2002,1,NA,"W.3","W.3.2"
2,2007,3,0,"W.3","W.3.2"
3,2005,1,210,"W.3","W.3.2"
4,2004,2,91,"W.3","W.3.2"
5,2009,0,0,"W.3","W.3.2"
6,2013,0,0,"W.3","W.3.2"
7,2003,NA,NA,"W.3","W.3.2"
8,2017,NA,NA,"W.3","W.3.2"
9,2009,NA,NA,"W.3","W.3.2"
10,2018,NA,NA,"W.3","W.3.2"
11,2016,NA,NA,"W.3","W.3.2"
12,2003,NA,NA,"W.3","W.3.2"
13,2005,NA,NA,"W.3","W.3.2"
14,2014,NA,NA,"W.3","W.3.2"
15,2010,NA,NA,"W.3","W.3.2"
16,2020,NA,NA,"W.3","W.3.2"
17,2017,NA,NA,"W.3","W.3.2"
18,2005,NA,NA,"W.3","W.3.2"
19,2011,NA,NA,"W.3","W.3.2"
20,2007,NA,NA,"W.3","W.3.2"
1,2002,3,NA,"E.3","E.3.3"
2,2007,11,0,"E.3","E.3.3"
3,2005,4,195,"E.3","E.3.3"
4,2004,0,0,"E.3","E.3.3"
5,2009,0,0,"E.3","E.3.3"
6,2013,NA,NA,"E.3","E.3.3"
7,2003,NA,NA,"E.3","E.3.3"
8,2017,NA,NA,"E.3","E.3.3"
9,2009,NA,NA,"E.3","E.3.3"
10,2018,NA,NA,"E.3","E.3.3"
11,2016,NA,NA,"E.3","E.3.3"
12,2003,NA,NA,"E.3","E.3.3"
13,2005,NA,NA,"E.3","E.3.3"
14,2014,NA,NA,"E.3","E.3.3"
15,2010,NA,NA,"E.3","E.3.3"
16,2020,NA,NA,"E.3","E.3.3"
17,2017,NA,NA,"E.3","E.3.3"
18,2005,NA,NA,"E.3","E.3.3"
19,2011,NA,NA,"E.3","E.3.3"
20,2007,NA,NA,"E.3","E.3.3"
